id,user_id,name,url_part,accessory
90463,4549494,"Supra M726G",supra_m726g,
90464,4549494,"PocketBook SURFpad 3 (10.1)",pocketbook_surfpad_3,
90489,4548849,"Doogee X5 Pro Galicia",doogee_x5_pro,
90490,4548849,"Thl 4000",thl_4000,
90491,4548849,"МТС 982",mts_982,
90524,4547471,"Xiaomi Redmi Note 3 Pro Prime",xiaomi_redmi_note_3_pro:prime,
90525,4547471,"Google Nexus 5",nexus_5,
90823,4535676,"Xiaomi Mi 3",xiaomi_mi_3,
90849,4533919,"Nokia 6 TA-1021",nokia_6,
90850,4533919,"Highscreen Zera S Power",highscreen_zera_s_power,
90974,4529816,"Xiaomi Mi A1 4/32",xiaomi_mi_a1:4_32,
90975,4529816,"Explay Fresh",explay_fresh,
90997,4528587,"Xiaomi Mi 4 WCDMA",xiaomi_mi4,
91077,4525704,"Sony Xperia Z1",sony_xperia_z1,
91100,4524605,"Xiaomi Mi A2 4/64",xiaomi_mi_a2:4_64,
91101,4524605,"Samsung Galaxy Tab 3 7.0 3G",samsung_galaxy_tab_3_7_0:3g,
91102,4524605,"General Mobile GM 5",general_mobile_gm_5,
91103,4524605,"Xiaomi Redmi 4X 3/32",xiaomi_redmi_4x:3_32,
91104,4524605,"Honor 3c Lite",huawei_honor_3c_lite,
91108,4524302,"Elephone P5000",elephone_p5000,
91242,4518369,"Xiaomi Redmi Note 3 Pro Standard",xiaomi_redmi_note_3_pro,
91275,4516581,"Xiaomi Redmi Note 4 4/64",xiaomi_redmi_note_4:4_64,
91276,4516581,"Xiaomi Redmi 5 2/16",xiaomi_redmi_5,
91431,4510565,"OnePlus One",oneplus_one,
91438,4510216,"Xiaomi Mi A1 4/32",xiaomi_mi_a1:4_32,
91439,4510216,"Microsoft Lumia 950 XL",microsoft_lumia_950_xl,
91531,4507300,"Xiaomi Redmi Note 4 3/32",xiaomi_redmi_note_4,
91532,4507300,"DNS S4506",dns_s4506,
91533,4507300,"Blackview BV2000",blackview_bv2000,
91541,4506857,"Apple iPhone 5s",apple_iphone_5s,
91542,4506857,"Lenovo Vibe B A2016",lenovo_vibe_b_a2016,
91543,4506857,"Wileyfox Swift",wileyfox_swift,
91550,4506516,"Sony Xperia Z5 Compact",sony_xperia_z5_compact,
91557,4506134,"Apple iPhone 7",apple_iphone_7,
91558,4506134,"Bluboo Picasso 3G",bluboo_picasso,
91568,4505376,"LeTV One X600",letv_one_x600,"Стекло+родной чехол"
91569,4505376,"HTC One M7",htc_one,
91573,4505248,NULL,,
91701,4499838,"Meizu Pro 6 Plus 64GB",meizu_pro_6_plus,
91702,4499838,"Xiaomi Redmi Note 4X Snapdragon 3/32",xiaomi_redmi_note_4x,
91703,4499838,"Xiaomi Redmi 3 Pro",xiaomi_redmi_3_pro,
91704,4499838,"Samsung Galaxy S4 LTE GT-I9505",samsung_gt_i9500_galaxy_s_4:lte,
91705,4499838,"LeEco Cool1 Dual (C103/C106/R116)",leeco_cool1,
